CLASS#	PARTICLE DIST.	ROTATION	TRANSLATION
156	0.077448	7.100000	6.900000
125	0.057373	3.100000	5.900000
30	0.055576	5.100000	6.100000
118	0.050171	4.750000	7.500000
134	0.044437	5.100000	6.500000
81	0.042699	6.100000	6.100000
17	0.037065	7.100000	6.100000
97	0.035531	7.100000	6.400000
170	0.035152	6.100000	6.900000
186	0.032341	6.100000	6.100000
19	0.031199	5.100000	5.800000
0	0.030504	4.250000	4.300000
176	0.029391	7.100000	6.400000
37	0.023739	5.100000	5.900000
164	0.021068	6.100000	5.750000
65	0.020361	5.100000	4.950000
114	0.016794	6.100000	6.100000
86	0.016479	5.100000	6.100000
1	0.016404	6.100000	6.100000
126	0.015397	5.100000	5.800000
135	0.014650	3.100000	5.100000
12	0.014393	6.100000	5.500000
72	0.012904	6.100000	5.500000
40	0.012864	2.600000	4.300000
195	0.011999	8.300000	5.000000
189	0.011107	3.100000	3.600000
102	0.011072	6.200000	6.000000
101	0.010596	999.000000	999.000000
62	0.010145	999.000000	999.000000
96	0.008231	999.000000	999.000000
196	0.008086	999.000000	999.000000
113	0.007768	999.000000	999.000000
48	0.007737	999.000000	999.000000
160	0.006289	999.000000	999.000000
10	0.005882	999.000000	999.000000
154	0.005588	999.000000	999.000000
182	0.005470	999.000000	999.000000
82	0.005296	999.000000	999.000000
52	0.004775	999.000000	999.000000
149	0.004745	999.000000	999.000000
159	0.004623	999.000000	999.000000
76	0.004404	999.000000	999.000000
199	0.004296	999.000000	999.000000
5	0.004199	999.000000	999.000000
20	0.004144	999.000000	999.000000
84	0.003635	999.000000	999.000000
14	0.003406	999.000000	999.000000
121	0.003357	999.000000	999.000000
71	0.003302	999.000000	999.000000
39	0.003267	999.000000	999.000000
146	0.002984	999.000000	999.000000
74	0.002970	999.000000	999.000000
46	0.002953	999.000000	999.000000
16	0.002866	999.000000	999.000000
122	0.002842	999.000000	999.000000
151	0.002818	999.000000	999.000000
44	0.002557	999.000000	999.000000
45	0.002550	999.000000	999.000000
49	0.002205	999.000000	999.000000
137	0.002164	999.000000	999.000000
11	0.001975	999.000000	999.000000
7	0.001929	999.000000	999.000000
61	0.001906	999.000000	999.000000
131	0.001889	999.000000	999.000000
75	0.001846	999.000000	999.000000
188	0.001811	999.000000	999.000000
38	0.001646	999.000000	999.000000
145	0.001490	999.000000	999.000000
108	0.001396	999.000000	999.000000
41	0.001356	999.000000	999.000000
143	0.001343	999.000000	999.000000
167	0.001326	999.000000	999.000000
92	0.001249	999.000000	999.000000
69	0.001147	999.000000	999.000000
180	0.001106	999.000000	999.000000
144	0.001050	999.000000	999.000000
187	0.001031	999.000000	999.000000
133	9.670110e-04	999.000000	999.000000
57	9.397523e-04	999.000000	999.000000
183	9.373715e-04	999.000000	999.000000
42	9.144376e-04	999.000000	999.000000
78	8.905123e-04	999.000000	999.000000
83	8.864764e-04	999.000000	999.000000
33	8.303018e-04	999.000000	999.000000
106	7.991177e-04	999.000000	999.000000
18	7.538784e-04	999.000000	999.000000
152	7.477513e-04	999.000000	999.000000
29	7.452420e-04	999.000000	999.000000
147	7.426296e-04	999.000000	999.000000
112	7.411437e-04	999.000000	999.000000
59	7.086055e-04	999.000000	999.000000
177	7.085842e-04	999.000000	999.000000
166	7.055372e-04	999.000000	999.000000
194	7.018746e-04	999.000000	999.000000
193	6.635781e-04	999.000000	999.000000
168	6.597985e-04	999.000000	999.000000
66	6.515309e-04	999.000000	999.000000
175	6.175672e-04	999.000000	999.000000
9	6.109694e-04	999.000000	999.000000
197	6.079681e-04	999.000000	999.000000
136	6.048476e-04	999.000000	999.000000
100	5.903798e-04	999.000000	999.000000
15	5.697355e-04	999.000000	999.000000
123	5.648597e-04	999.000000	999.000000
90	5.593336e-04	999.000000	999.000000
87	5.371896e-04	999.000000	999.000000
185	5.195862e-04	999.000000	999.000000
172	4.844976e-04	999.000000	999.000000
110	4.749620e-04	999.000000	999.000000
192	4.663537e-04	999.000000	999.000000
190	4.618592e-04	999.000000	999.000000
120	4.449905e-04	999.000000	999.000000
21	4.393853e-04	999.000000	999.000000
3	4.392532e-04	999.000000	999.000000
80	4.361404e-04	999.000000	999.000000
89	4.137679e-04	999.000000	999.000000
138	4.136250e-04	999.000000	999.000000
50	4.040991e-04	999.000000	999.000000
73	3.998661e-04	999.000000	999.000000
173	3.888510e-04	999.000000	999.000000
47	3.875415e-04	999.000000	999.000000
13	3.768530e-04	999.000000	999.000000
54	3.670414e-04	999.000000	999.000000
103	3.644563e-04	999.000000	999.000000
148	3.493742e-04	999.000000	999.000000
32	3.476381e-04	999.000000	999.000000
117	3.413601e-04	999.000000	999.000000
70	3.344733e-04	999.000000	999.000000
2	3.340720e-04	999.000000	999.000000
165	3.281797e-04	999.000000	999.000000
