CLASS#	PARTICLE DIST.	ROTATION	TRANSLATION
75	3.810443e-05	999.000000	999.000000
54	3.177174e-05	999.000000	999.000000
64	3.176716e-05	999.000000	999.000000
58	3.176616e-05	999.000000	999.000000
133	3.176042e-05	999.000000	999.000000
101	3.175798e-05	999.000000	999.000000
84	2.541723e-05	999.000000	999.000000
8	2.540767e-05	999.000000	999.000000
94	2.540733e-05	999.000000	999.000000
147	1.906525e-05	999.000000	999.000000
63	1.906433e-05	999.000000	999.000000
24	1.905862e-05	999.000000	999.000000
95	1.270967e-05	999.000000	999.000000
185	1.270909e-05	999.000000	999.000000
196	1.270882e-05	999.000000	999.000000
88	1.270471e-05	999.000000	999.000000
37	1.270425e-05	999.000000	999.000000
175	1.270165e-05	999.000000	999.000000
190	6.355208e-06	999.000000	999.000000
103	6.355196e-06	999.000000	999.000000
108	6.355186e-06	999.000000	999.000000
181	6.354840e-06	999.000000	999.000000
155	6.354836e-06	999.000000	999.000000
60	6.354819e-06	999.000000	999.000000
187	6.354664e-06	999.000000	999.000000
160	6.353981e-06	999.000000	999.000000
189	6.353111e-06	999.000000	999.000000
194	6.352772e-06	999.000000	999.000000
49	6.351767e-06	999.000000	999.000000
6	0.000000	999.000000	999.000000
16	0.000000	999.000000	999.000000
31	0.000000	999.000000	999.000000
