CLASS#	PARTICLE DIST.	ROTATION	TRANSLATION
180	0.132000	5.100000	7.100000
65	0.118165	6.100000	6.100000
72	0.078919	6.100000	6.300000
49	0.073394	7.100000	6.400000
192	0.072799	4.600000	5.400000
186	0.050566	4.600000	4.750000
134	0.047501	6.700000	5.000000
63	0.042417	4.600000	4.650000
24	0.040790	6.100000	5.100000
85	0.040694	6.100000	6.000000
99	0.040657	6.100000	5.700000
38	0.038452	6.100000	4.900000
105	0.035996	5.100000	5.300000
160	0.035465	6.100000	5.150000
158	0.026128	6.100000	5.800000
185	0.009661	4.100000	2.850000
58	0.009277	999.000000	999.000000
89	0.008195	999.000000	999.000000
95	0.007321	999.000000	999.000000
148	0.006210	999.000000	999.000000
175	0.003797	999.000000	999.000000
30	0.003776	999.000000	999.000000
74	0.003663	999.000000	999.000000
27	0.003581	999.000000	999.000000
97	0.003514	999.000000	999.000000
78	0.003407	999.000000	999.000000
135	0.003293	999.000000	999.000000
4	0.002953	999.000000	999.000000
61	0.002711	999.000000	999.000000
182	0.002588	999.000000	999.000000
56	0.002221	999.000000	999.000000
73	0.002020	999.000000	999.000000
37	0.001925	999.000000	999.000000
137	0.001845	999.000000	999.000000
110	0.001708	999.000000	999.000000
8	0.001471	999.000000	999.000000
9	0.001425	999.000000	999.000000
0	0.001356	999.000000	999.000000
12	0.001186	999.000000	999.000000
190	0.001160	999.000000	999.000000
5	0.001155	999.000000	999.000000
83	0.001083	999.000000	999.000000
118	9.469641e-04	999.000000	999.000000
6	9.184883e-04	999.000000	999.000000
131	8.961486e-04	999.000000	999.000000
39	8.702570e-04	999.000000	999.000000
177	7.935288e-04	999.000000	999.000000
28	7.879382e-04	999.000000	999.000000
55	7.863102e-04	999.000000	999.000000
15	7.523177e-04	999.000000	999.000000
84	7.371360e-04	999.000000	999.000000
88	7.232335e-04	999.000000	999.000000
18	7.112266e-04	999.000000	999.000000
67	6.784100e-04	999.000000	999.000000
102	6.759409e-04	999.000000	999.000000
136	6.134475e-04	999.000000	999.000000
194	5.797529e-04	999.000000	999.000000
161	5.637075e-04	999.000000	999.000000
174	5.620918e-04	999.000000	999.000000
94	5.574530e-04	999.000000	999.000000
26	5.456401e-04	999.000000	999.000000
96	5.451527e-04	999.000000	999.000000
53	5.391228e-04	999.000000	999.000000
111	5.242121e-04	999.000000	999.000000
165	4.649956e-04	999.000000	999.000000
144	4.573194e-04	999.000000	999.000000
113	4.490373e-04	999.000000	999.000000
20	4.487596e-04	999.000000	999.000000
114	4.172875e-04	999.000000	999.000000
121	4.115121e-04	999.000000	999.000000
34	4.114754e-04	999.000000	999.000000
133	4.035534e-04	999.000000	999.000000
64	3.657789e-04	999.000000	999.000000
112	3.649523e-04	999.000000	999.000000
173	3.593990e-04	999.000000	999.000000
143	3.430767e-04	999.000000	999.000000
126	3.351669e-04	999.000000	999.000000
3	3.321826e-04	999.000000	999.000000
128	3.222728e-04	999.000000	999.000000
152	3.159549e-04	999.000000	999.000000
29	3.108482e-04	999.000000	999.000000
68	2.998931e-04	999.000000	999.000000
153	2.936755e-04	999.000000	999.000000
169	2.924060e-04	999.000000	999.000000
179	2.914859e-04	999.000000	999.000000
163	2.900597e-04	999.000000	999.000000
70	2.886819e-04	999.000000	999.000000
93	2.838571e-04	999.000000	999.000000
171	2.833257e-04	999.000000	999.000000
168	2.793867e-04	999.000000	999.000000
16	2.769670e-04	999.000000	999.000000
2	2.756199e-04	999.000000	999.000000
140	2.721267e-04	999.000000	999.000000
35	2.670590e-04	999.000000	999.000000
199	2.483499e-04	999.000000	999.000000
129	2.477511e-04	999.000000	999.000000
10	2.473510e-04	999.000000	999.000000
116	2.452612e-04	999.000000	999.000000
54	2.443343e-04	999.000000	999.000000
62	2.428017e-04	999.000000	999.000000
